Time,CAD,EUR,GBP,IDR,JPY,KRW,PLN,RUB,USD,others
2018-02-27 00:00:00 UTC,611.56848847,17995.23422514,2075.30984968,524.50296018,19787.0930249197,1927.9675183981,1071.7247257,685.75108444,88650.6863844005,1456.8604966354296
2018-02-28 00:00:00 UTC,319.88623635,17776.34477106,2465.86150604,462.66889615,21435.8635093195,2160.96582951794,1176.93399258,673.22406335,98266.0295249228,1464.1014761095103
2018-03-01 00:00:00 UTC,538.51896508,16178.2604887,1622.21126888,374.11635526,16120.0771190598,1568.87622837965,1292.73377705,689.17124094,81847.2977626658,1185.61792698595
2018-03-02 00:00:00 UTC,354.55636796,15092.6234837,2058.08841975,499.31153272,15568.7850507496,1833.07992171559,1040.52223364,680.42778855,70547.4750497497,1236.0141778821
2018-03-03 00:00:00 UTC,505.33576957,11795.48635112,1039.48205114,451.92537677,14937.6010380497,1654.3872356412,946.36428758,658.28260686,66734.2341098431,1026.61965535941
2018-03-04 00:00:00 UTC,319.56141291,11149.38897688,2166.44462391,283.3914537,13277.4808948998,1620.79051863151,780.58687182,610.58041278,57629.7982720366,694.5236107909802
2018-03-05 00:00:00 UTC,350.63324481,13645.63440811,2382.59541317,375.72339453,13417.2696199198,1409.58348958499,747.70458712,701.2529675,65467.7882436543,1118.8761317499998
2018-03-06 00:00:00 UTC,1279.5289023,32290.78562371,4310.2351407,663.09475198,29152.7253496694,2719.97851524022,2544.23434917,1077.26509746,147156.072667873,2534.9307026554598
2018-03-07 00:00:00 UTC,1891.64573444,46758.2733157898,5065.13539217,1119.13400946,35609.3243603394,5410.74108929454,3258.22943546,1205.46055169,218133.51556636,3528.062242182939
2018-03-08 00:00:00 UTC,1225.35912942,41577.05377798,5189.4329466,1002.0984642,37103.3567817493,4268.09654717018,2462.42199812,1123.96223409,211094.564247915,3395.2413698894907
2018-03-09 00:00:00 UTC,1416.39583538,39675.7989263899,3796.68478834,1010.31175663,35733.7678266592,4344.83419946525,2551.63393751,795.63269583,247154.988103583,3348.9585579594695
2018-03-10 00:00:00 UTC,648.2520348,19352.25857527,2314.77501631,401.94968331,18490.0231555096,1721.90744479969,967.89424817,665.11910321,108684.589381739,1395.3798925922397
2018-03-11 00:00:00 UTC,371.61114957,24035.56579261,2463.6420845,586.90530153,25044.1891882195,2277.18678208161,1009.97314183,645.89173548,139055.322941975,1089.70928569871
2018-03-12 00:00:00 UTC,657.51906328,25017.3531038799,2677.70255449,667.31618322,25587.3032527996,2216.58578310891,992.45233598,666.02730765,140679.671920583,1525.1972609049096
2018-03-13 00:00:00 UTC,457.06214829,18388.11582543,2552.37491935,465.73483817,23763.5486869795,1899.59697471407,1085.20485938,551.18360103,123825.239909892,1305.5249847233597
2018-03-14 00:00:00 UTC,1255.31166166,31410.4593533199,2679.4071753,915.06535792,24588.5691255096,2349.52218435045,1120.59955781,665.96232488,113090.245365121,2023.78413653592
2018-03-15 00:00:00 UTC,1247.99384037,31308.7228069999,2348.74108444,876.52660699,30746.5565089796,2941.66183607145,1462.68391413,721.73315306,172070.281751199,2252.73443076757
2018-03-16 00:00:00 UTC,877.01962118,21821.80545718,977.71233881,390.029961,23766.7651005896,1574.02594903092,756.54709764,700.86323634,118793.582203933,1221.5771083801599
2018-03-17 00:00:00 UTC,678.09190049,17707.58840461,757.72254604,364.65806473,18245.2565726897,1203.08767748543,907.87158584,615.81780124,102012.526273246,984.73544183354
2018-03-18 00:00:00 UTC,1263.02626927,28118.0239213499,2480.55682376,538.3773919,29569.9153579899,2403.96782259295,1288.30332683,633.59058875,180179.896244481,1749.24575089287
2018-03-19 00:00:00 UTC,1116.22832391,26064.92007153,2010.25000164,599.06944739,28118.3305774598,2933.79903408728,1042.0895806,672.55830501,158871.643642682,1858.9976192633897
2018-03-20 00:00:00 UTC,576.52556345,21474.37282012,1139.36110429,689.22050577,23153.0603007397,2591.18568438954,909.1082454,678.82052453,111722.133639162,1471.4653395595196
2018-03-21 00:00:00 UTC,549.70256922,17445.03653623,1443.44650799,516.63462891,20138.6513064598,1898.50603258371,871.11777312,610.27598957,100601.518665984,1485.6711094353298
2018-03-22 00:00:00 UTC,559.70004115,15891.28031964,1434.84123846,404.9407328,20943.9137033298,1558.65620091833,1083.28296868,510.33568816,109537.179145422,1214.7222747302894
2018-03-23 00:00:00 UTC,602.22739108,16545.39356675,1545.05551449,332.19363812,24570.3593065997,1450.72850374849,892.22577376,677.88453023,101378.373236986,1264.3130739433
2018-03-24 00:00:00 UTC,221.1346918,10847.31444123,1359.61631075,302.30171917,18830.4413339198,1312.52204942799,750.50126375,652.63434464,86457.2809914325,865.4650843756999
2018-03-25 00:00:00 UTC,193.68305136,9839.96745247,1352.80389202,278.86700652,16587.2611815098,743.570143419056,681.35347669,617.76145653,69879.3597667601,604.2441010582401
2018-03-26 00:00:00 UTC,849.40704226,19307.28775487,1878.70954828,459.23936481,19630.3472554698,1194.26276452922,1318.23503873,694.71428187,123135.682025596,1540.5110714603502
2018-03-27 00:00:00 UTC,678.35208768,15723.65520631,1868.98572175,352.56924961,21086.4700117798,1552.08846900591,1036.54240097,662.36299616,107306.506234381,1349.4200301715098
2018-03-28 00:00:00 UTC,492.47745699,11629.85712138,1487.29736619,263.59183288,14788.9790638299,864.629302754556,853.67790265,673.21162475,76143.8441308561,1061.90817793564
2018-03-29 00:00:00 UTC,1481.37939486,30593.55328216,2220.47911093,471.19214072,25084.3704981297,2440.66670603291,1786.05238333,732.06477228,174948.824799636,1830.0855233563
2018-03-30 00:00:00 UTC,968.95686466,32608.47338006,2122.52714577,632.26243387,30795.68466506,2679.37607608726,1902.60256439,782.23733607,214613.566909241,1685.9524328925102
2018-03-31 00:00:00 UTC,310.59783078,15980.76240438,1761.03310981,316.88957212,19087.9744761897,1362.71590989113,809.00484765,711.6003641,121270.218621933,902.0291897747301
2018-04-01 00:00:00 UTC,367.80341102,19321.80365132,1331.75780262,415.44978061,20253.9748746098,1813.95377295973,1120.70756247,388.29919566,121211.680241643,854.8071084951399
2018-04-02 00:00:00 UTC,716.95544219,14610.09673627,1552.6619444,414.74680969,17842.7640512998,1279.19117157396,717.70031939,432.0530548,99813.1381578028,1029.26716562976
2018-04-03 00:00:00 UTC,892.233616979999,18676.03853775,1551.48638543,474.26819277,23501.7563347698,2047.52030671509,800.06997943,740.35699143,114831.911274957,1655.7563110836597
2018-04-04 00:00:00 UTC,506.09987277,20653.23005306,1279.83352053,489.38508739,20488.0780918398,1843.31625034815,989.87704426,723.94730897,114354.843517279,1450.41392104805
2018-04-05 00:00:00 UTC,593.01877337,17373.03879793,1535.38756425,517.35055672,20150.9959535798,1824.48763157871,867.04100706,590.97238977,104599.320850139,1319.31933838335
2018-04-06 00:00:00 UTC,335.17575931,12893.35958288,1700.29788677,450.52936033,16377.7052419699,1026.23751897669,622.133847109999,708.57548774,85125.3180247422,1129.8983559014998
2018-04-07 00:00:00 UTC,318.69786997,10512.48321049,1492.54937596,293.32054319,12750.0597589799,1229.27067917517,610.01307773,711.23435162,75895.9929650902,866.6029718945097
2018-04-08 00:00:00 UTC,402.94302181,7377.75255069,1257.64379209,186.46294923,10227.1293660699,815.244977620284,645.47701031,641.85805796,55858.0921422165,595.9133689537001
2018-04-09 00:00:00 UTC,507.71566042,15468.16590874,1716.13412766,536.93807328,17966.6555959599,1458.89534735318,802.55077438,607.31854458,124740.223246584,1324.6870835323898
2018-04-10 00:00:00 UTC,393.26872657,9404.42529421,1527.71374032,279.2947571,11004.0847765799,827.203965005624,619.97096684,686.65622637,57459.6312252903,1038.9233438293102
2018-04-11 00:00:00 UTC,353.44342039,8490.64582985,773.19166176,267.6740776,6882.14730511996,644.122435084372,650.52315946,696.04570729,61285.7036715649,937.8475344118402
2018-04-12 00:00:00 UTC,1064.22782603,27167.0849491699,1800.38733058,1022.63587882,27058.3989240511,3288.67250766333,1304.52304491,820.32876785,186227.197333348,2187.820845236931
2018-04-13 00:00:00 UTC,792.47264971,21292.02957857,1052.15220517,766.87468481,29614.4425326997,2189.76009834196,719.48141319,839.21841423,133995.926116512,1686.7730909911604
2018-04-14 00:00:00 UTC,151.7063678,9380.04292769,623.58043188,319.45367866,16458.0875361498,1124.99299273061,560.63875056,699.01360986,60054.6314206275,667.7485556731699
2018-04-15 00:00:00 UTC,395.04068571,10672.99795615,1521.70753263,339.23157225,15175.24654269,1092.5000850509,683.12139165,664.50090741,64074.7679791395,683.53928871986
2018-04-16 00:00:00 UTC,460.99772768,13366.98223977,1771.84553262,583.28423058,20526.6894769098,1296.50037092309,797.46844008,687.11946769,83346.4513323182,1092.97758762777
2018-04-17 00:00:00 UTC,446.06028458,12348.92031299,1751.28472875,356.69818479,14987.7762474198,1122.78315621838,611.53707558,677.49012864,66451.1432099826,1104.1981589346199
2018-04-18 00:00:00 UTC,439.14438882,10771.36041288,1586.93009933,306.70205128,13006.1219310398,1245.44017679662,714.23342341,674.41712683,68303.4962826007,951.92791981284
2018-04-19 00:00:00 UTC,470.08129926,11238.92274514,1545.3160512,465.18405024,12967.0320650999,1648.42259015949,716.43377111,665.99398325,67483.6800525725,920.8651380352999
2018-04-20 00:00:00 UTC,458.91760569,17962.4168843,1908.29381415,648.92186762,18954.1024599299,2084.02363346596,869.62844381,727.92311525,108254.259052406,1421.5120789121904
2018-04-21 00:00:00 UTC,305.32770519,13158.38499245,1641.87954541,531.982117810002,20122.4336061397,1727.36223962239,715.72572551,683.13231067,85678.1062465788,1028.50086746506
2018-04-22 00:00:00 UTC,202.19394803,10662.62001778,1458.08237039,288.01132654,14143.5533781098,1111.97440510986,734.10746488,629.55820991,63202.8231614496,590.93191464088
2018-04-23 00:00:00 UTC,371.92333304,9625.72921186,1605.33991063,289.18604196,13076.9914680698,1203.4240650005,790.25764103,708.02852148,56950.2576275067,982.4566263271101
2018-04-24 00:00:00 UTC,647.36963475,19331.88293121,1915.6967212,656.70268432,25224.3174196995,2004.64724560313,889.00753281,744.739941,128727.772644599,1657.4867522921206
2018-04-25 00:00:00 UTC,624.61847453,27406.4626306299,2245.16052692,742.44103357,36900.5067840695,2865.9222546014,1323.55575014,740.04321259,176773.028355869,2020.4349115372097
2018-04-26 00:00:00 UTC,502.33800029,16680.9906348,1692.99220325,455.31885162,25398.1981060595,1687.98256702304,1125.1780824,703.58730405,103914.682409173,1130.56990881551
2018-04-27 00:00:00 UTC,315.32025327,12564.42248551,1825.54641223,376.47935591,17239.9082928097,1068.98347765735,1133.43179554,702.34451954,74982.2263342838,934.6249421328001
2018-04-28 00:00:00 UTC,171.7637071,10249.63531671,1586.4129858,347.1640789,18329.8246899498,909.856431883922,1073.13943493,687.8936422,85675.628893801,587.2034910080502
2018-04-29 00:00:00 UTC,276.4486978,8396.69762905,1419.70450431,355.45602633,15868.9346919198,1007.9191512696,1067.83179068,629.35431424,63357.3661220339,597.81888881995
2018-04-30 00:00:00 UTC,173.59336957,9209.69293383999,1638.29116236,358.47903247,11022.5900244999,1067.53685847435,939.36433808,657.00136829,58310.2185852318,793.96342597263
2018-05-01 00:00:00 UTC,524.55480328,11096.54273103,1676.14176019,346.69322443,15159.7390164898,1053.61155929045,1193.35460849,542.19391807,67593.1841609702,817.52252347338
2018-05-02 00:00:00 UTC,270.8034324,9427.34976237,1388.40174993,299.92433643,10635.5945358099,708.353673758153,1143.49570737,639.64879144,54513.3390593924,920.3986256172199
2018-05-03 00:00:00 UTC,600.27713177,14825.23734296,1697.91344026,546.16854227,16203.8382402398,1596.03933971319,1206.21235337,722.07544477,87926.2327372334,1302.2246258214498
2018-05-04 00:00:00 UTC,472.89410233,10244.549866,1550.00194043,412.15624481,10907.2647572499,964.255839525357,897.08247693,659.72539242,65263.7413936857,902.3329058266299
2018-05-05 00:00:00 UTC,405.56725956,9995.00241583,1143.3489222,325.29209033,10952.9051478799,759.210387301239,1065.41609156,684.57397292,66166.5017034306,808.0098363535901
2018-05-06 00:00:00 UTC,450.11866909,8388.25817540001,843.26750896,277.13931692,14903.9351732898,1106.77626010163,1497.6361777,626.86514306,57431.8735047435,585.40069564714
2018-05-07 00:00:00 UTC,372.04391119,11122.24378035,602.05032613,306.57404697,17033.6025817997,1002.04147193411,1004.9754036,654.45527584,64911.1658967362,881.23274522331
2018-05-08 00:00:00 UTC,427.52009481,9724.34949879,1491.48371904,273.45873814,14703.3607573598,897.78156149516,921.88919431,689.44423567,67573.5330828301,880.4632463126502
2018-05-09 00:00:00 UTC,226.25221941,8810.9390938,1411.75768821,222.04796959,12392.8341134599,1045.90982205538,1062.39719302,621.08572708,63711.7367789938,885.63387818369
2018-05-10 00:00:00 UTC,320.90366405,8295.22931098999,1537.01680123,223.83852975,12653.8163788398,823.652370912175,1288.20809567,645.75450764,62761.265089676,915.5634663824599
2018-05-11 00:00:00 UTC,381.42207732,16054.1441363,1915.21730048,459.8148087,17021.8192766796,1863.44728627031,1203.69197832,735.49231355,125510.396032628,1271.71582267644
2018-05-12 00:00:00 UTC,336.03543427,11789.66366941,1763.24184756,285.05661623,17175.3869767898,1013.45869741001,1110.0830449,682.55904113,85806.1435182378,807.1942052048599
2018-05-13 00:00:00 UTC,230.18689765,8720.63281102,1540.86486023,223.77150574,12937.3631389399,645.219510412605,937.96543117,622.11661188,56729.2417867779,481.10577276757994
2018-05-14 00:00:00 UTC,538.98056318,15219.76577334,1849.55016714,402.64830869,19326.3341022297,1431.62793997329,1151.16765115,704.71815881,94826.6904826637,1039.3456677819904
2018-05-15 00:00:00 UTC,400.9936954,10282.67267873,1185.44352158,294.197784,15587.5855116098,961.269923251506,1139.77431685,718.42127737,79009.4110637527,992.6261735153499
2018-05-16 00:00:00 UTC,473.36837842,12738.04020126,951.32569855,332.30111221,17376.8952830698,1154.98564293872,981.20335164,693.38277124,89124.7153357376,997.90285017128
2018-05-17 00:00:00 UTC,369.72812359,9731.23726029999,1750.20365668,246.01222098,13194.2802607899,678.644994319327,1005.60652592,676.15505376,69051.3062030461,762.0916935425998
2018-05-18 00:00:00 UTC,403.92732885,9763.99830393,1537.42213265,230.56415559,11801.0260672299,660.910006659819,945.34755825,698.69546095,61507.9942709491,804.2201470987202
2018-05-19 00:00:00 UTC,203.5089189,5833.71573157,1206.13252321,136.57047257,8888.06035001993,402.877883679768,608.92676606,600.62952909,39362.5957798577,459.465064952
2018-05-20 00:00:00 UTC,514.66259379,6300.93885038999,1301.24985917,141.2864561,8402.38898615995,462.628349385081,540.52378369,595.07982082,42171.6449631013,403.58737183556013
2018-05-21 00:00:00 UTC,251.58641612,7889.95446703,1375.88525676,220.12956375,9256.67118207995,672.893427525246,711.75611799,705.50067704,47455.99218925,744.3777383165299
2018-05-22 00:00:00 UTC,422.99532165,10238.25274428,1222.81678135,203.23413342,10404.7714073699,722.523828080584,938.10843998,683.06881028,58422.2297389824,927.8577157704499
2018-05-23 00:00:00 UTC,657.86457567,17959.76178009,1165.71301735,357.05085321,18906.4694535498,1067.68246031221,1711.90183354,732.41771669,111982.999350945,1354.4623086864801
2018-05-24 00:00:00 UTC,389.30156234,14330.91770106,1783.70651525,310.62396291,16253.8550699998,1250.17918273761,1368.20350174,678.70344169,99804.1057490514,1015.5041816154001
2018-05-25 00:00:00 UTC,298.43983103,9698.40609534,900.569629959999,213.44531924,12592.1677919999,657.689278832583,802.37849083,740.43174659,76564.1229009728,763.63749926337
2018-05-26 00:00:00 UTC,176.52725612,6095.02981302,866.22040071,169.08821368,6397.24018299996,511.662174606504,545.65149251,661.83099503,41758.2069787531,481.41987346679997
2018-05-27 00:00:00 UTC,130.76828599,6145.34822028002,1226.69646398,191.20725738,6291.48119726997,448.051891083737,464.50964046,635.52711131,40819.5832594752,371.37879434371996
2018-05-28 00:00:00 UTC,458.97304508,9903.91084509996,1238.30463061,413.83048618,10839.2330046299,1007.82375150875,719.67797154,707.27276739,64925.0241080332,890.31392308716
2018-05-29 00:00:00 UTC,322.9291524,13533.10361054,1102.27943832,278.0135908,12720.1647533997,903.332778712164,1153.68435795,703.32243395,76336.5367293571,1094.5453549031397
2018-05-30 00:00:00 UTC,187.64175654,8772.36591723,1448.68885409,275.95276314,11278.4633313698,670.151765523988,878.87916388,701.43523721,59638.6259082912,883.7566589564897
2018-05-31 00:00:00 UTC,292.72207548,7968.31938799999,1345.02370385,576.15125759,9506.96376983989,488.973123609784,711.59206955,471.08931513,53348.5623334577,754.99595936324
2018-06-01 00:00:00 UTC,190.04323917,6884.94009707999,1316.68045204,261.12252074,7793.93073301992,516.785598620399,799.41937119,414.83872186,53754.4052863338,720.85649033566
2018-06-02 00:00:00 UTC,229.34329884,6291.06412729998,1270.28233622,250.82986979,8254.05539300991,424.201768405433,612.33595272,409.21427009,41932.8359495878,526.2734880670001
2018-06-03 00:00:00 UTC,158.03725366,6468.33493248998,1258.92832395,275.40822159,5670.88211901997,333.926391927493,647.5527116,638.64694991,38205.4162269061,415.44372355420006
2018-06-04 00:00:00 UTC,237.75152476,8276.88839536,1409.26673582,334.06398667,8147.54376005994,545.713976782519,706.60579798,726.62523015,49913.5277737149,756.7688694747702
2018-06-05 00:00:00 UTC,219.87781759,9113.46294347998,1392.29128604,396.87522868,8675.74628379995,683.664386340524,1036.40596704,748.71409176,52519.2497162453,853.0820626014098
2018-06-06 00:00:00 UTC,233.10071181,8256.74381640995,1178.7291147,238.46668871,7429.80622938997,414.442741649879,874.6182379,718.63537193,48928.8344372615,811.9080999698499
2018-06-07 00:00:00 UTC,163.16816371,6365.10613934,1250.10355141,178.31200861,6503.35248234998,456.555024520359,935.82476854,673.25244112,40112.0855920714,787.5746650210199
2018-06-08 00:00:00 UTC,111.10217293,5789.6736321,1064.13352359,254.9283547,6233.20149178998,408.558709211475,622.46668304,639.90990621,35400.5231353131,749.3825648100001
2018-06-09 00:00:00 UTC,123.05614277,4630.21035441,878.39489398,136.94208808,3689.12590553,339.872804395279,429.55545945,700.04636511,26050.7847285285,400.24432478224
2018-06-10 00:00:00 UTC,225.57814423,17611.65986449,1055.0444368,483.74678535,14960.1756953898,1055.35954641134,1358.31993595,701.77094297,122272.829228681,919.5896369996201
2018-06-11 00:00:00 UTC,326.33202782,13675.3185652099,1703.81327843,453.55535437,13155.8476452899,879.208987126357,1119.87644793,732.35492117,68930.3246256258,1133.5793678787297
2018-06-12 00:00:00 UTC,465.63485253,12559.18507978,1738.87052942,383.01559632,10443.5903522999,767.10799021348,1077.07713447,792.10752854,75250.7146001193,1005.6568919573002
2018-06-13 00:00:00 UTC,429.97202913,18036.1349567799,1840.80901371,366.02935611,15526.7590840498,748.311773865476,1724.98611901,833.88606688,117263.215685786,1335.73357113893
2018-06-14 00:00:00 UTC,359.01313038,16316.4666963699,1680.12506675,360.85665005,15751.5744243698,919.733818274795,1424.94368745,880.31254434,92081.9014225292,1061.04084078873
